189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 102 ms, execution time: 89 ms, waiting time: 1 ms, processed by Server Zone:4)
7571439 getPopulationofCountry Kenya Zone:3 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
6340891 getPopulationofCountry Guatemala Zone:1 (turnaround time: 109 ms, execution time: 81 ms, waiting time: 26 ms, processed by Server Zone:1)
8480241 getPopulationofCountry Israel Zone:5 (turnaround time: 84 ms, execution time: 83 ms, waiting time: 0 ms, processed by Server Zone:5)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 229 ms, execution time: 81 ms, waiting time: 147 ms, processed by Server Zone:4)
369776 getPopulationofCountry Guyana Zone:3 (turnaround time: 82 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 82 ms, execution time: 80 ms, waiting time: 0 ms, processed by Server Zone:1)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 285 ms, execution time: 80 ms, waiting time: 203 ms, processed by Server Zone:4)
3022187 getPopulationofCountry Benin Zone:2 (turnaround time: 82 ms, execution time: 81 ms, waiting time: 1 ms, processed by Server Zone:2)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 139 ms, execution time: 81 ms, waiting time: 57 ms, processed by Server Zone:1)
107338689 getPopulationofCountry Mexico Zone:5 (turnaround time: 85 ms, execution time: 83 ms, waiting time: 0 ms, processed by Server Zone:5)
9362428 getPopulationofCountry Sweden Zone:2 (turnaround time: 88 ms, execution time: 81 ms, waiting time: 5 ms, processed by Server Zone:2)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 194 ms, execution time: 81 ms, waiting time: 112 ms, processed by Server Zone:1)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 83 ms, execution time: 82 ms, waiting time: 1 ms, processed by Server Zone:4)
107338689 getPopulationofCountry Mexico Zone:5 (turnaround time: 141 ms, execution time: 81 ms, waiting time: 58 ms, processed by Server Zone:5)
63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
266998322 getPopulationofCountry United States Zone:4 (turnaround time: 140 ms, execution time: 81 ms, waiting time: 57 ms, processed by Server Zone:4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 197 ms, execution time: 81 ms, waiting time: 115 ms, processed by Server Zone:4)
7375148 getPopulationofCountry Switzerland Zone:5 (turnaround time: 85 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:5)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:2)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 253 ms, execution time: 81 ms, waiting time: 171 ms, processed by Server Zone:4)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 117 ms, execution time: 81 ms, waiting time: 34 ms, processed by Server Zone:5)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 310 ms, execution time: 81 ms, waiting time: 228 ms, processed by Server Zone:4)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 172 ms, execution time: 81 ms, waiting time: 90 ms, processed by Server Zone:5)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 366 ms, execution time: 81 ms, waiting time: 284 ms, processed by Server Zone:4)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 206 ms, execution time: 81 ms, waiting time: 124 ms, processed by Server Zone:5)
184225 getPopulationofCountry Guam Zone:1 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:1)
1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 81 ms, execution time: 80 ms, waiting time: 0 ms, processed by Server Zone:2)
1698635 getPopulationofCountry Kuwait Zone:4 (turnaround time: 302 ms, execution time: 81 ms, waiting time: 218 ms, processed by Server Zone:4)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 263 ms, execution time: 81 ms, waiting time: 180 ms, processed by Server Zone:5)
374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 137 ms, execution time: 82 ms, waiting time: 55 ms, processed by Server Zone:2)
8249 getPopulationofCountry Tuvalu Zone:4 (turnaround time: 286 ms, execution time: 81 ms, waiting time: 203 ms, processed by Server Zone:4)
3639169 getPopulationofCountry Cambodia Zone:5 (turnaround time: 320 ms, execution time: 81 ms, waiting time: 238 ms, processed by Server Zone:5)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 81 ms, execution time: 80 ms, waiting time: 0 ms, processed by Server Zone:1)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 219 ms, execution time: 81 ms, waiting time: 137 ms, processed by Server Zone:4)
100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 351 ms, execution time: 80 ms, waiting time: 270 ms, processed by Server Zone:5)
3645095 getPopulationofCountry Uganda Zone:3 (turnaround time: 83 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:3)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 275 ms, execution time: 81 ms, waiting time: 193 ms, processed by Server Zone:4)
3989252 getPopulationofCountry Nepal Zone:2 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:2)
100848918 getPopulationofCountry Japan Zone:5 (turnaround time: 407 ms, execution time: 80 ms, waiting time: 326 ms, processed by Server Zone:5)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 331 ms, execution time: 81 ms, waiting time: 250 ms, processed by Server Zone:4)
63717971 getPopulationofCountry Turkey Zone:5 (turnaround time: 264 ms, execution time: 81 ms, waiting time: 181 ms, processed by Server Zone:5)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:2)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 388 ms, execution time: 81 ms, waiting time: 305 ms, processed by Server Zone:4)
31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 295 ms, execution time: 82 ms, waiting time: 211 ms, processed by Server Zone:5)
61881622 getPopulationofCountry Philippines Zone:1 (turnaround time: 85 ms, execution time: 83 ms, waiting time: 0 ms, processed by Server Zone:1)
15411242 getPopulationofCountry Belgium Zone:2 (turnaround time: 139 ms, execution time: 82 ms, waiting time: 56 ms, processed by Server Zone:2)
16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 218 ms, execution time: 80 ms, waiting time: 136 ms, processed by Server Zone:4)
31731367 getPopulationofCountry Canada Zone:5 (turnaround time: 351 ms, execution time: 81 ms, waiting time: 269 ms, processed by Server Zone:5)
7348242 getPopulationofCountry Bolivia Zone:1 (turnaround time: 141 ms, execution time: 80 ms, waiting time: 60 ms, processed by Server Zone:1)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 152 ms, execution time: 82 ms, waiting time: 67 ms, processed by Server Zone:4)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 385 ms, execution time: 82 ms, waiting time: 301 ms, processed by Server Zone:5)
70068919 getPopulationofCountry United Kingdom Zone:3 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:3)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 211 ms, execution time: 80 ms, waiting time: 129 ms, processed by Server Zone:4)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 440 ms, execution time: 81 ms, waiting time: 358 ms, processed by Server Zone:5)
3989252 getPopulationofCountry Nepal Zone:3 (turnaround time: 138 ms, execution time: 81 ms, waiting time: 55 ms, processed by Server Zone:3)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 267 ms, execution time: 82 ms, waiting time: 184 ms, processed by Server Zone:4)
3006587 getPopulationofCountry Slovakia Zone:5 (turnaround time: 497 ms, execution time: 81 ms, waiting time: 415 ms, processed by Server Zone:5)
16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
3328228 getPopulationofCountry Honduras Zone:3 (turnaround time: 149 ms, execution time: 81 ms, waiting time: 66 ms, processed by Server Zone:3)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 324 ms, execution time: 81 ms, waiting time: 243 ms, processed by Server Zone:4)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 233 ms, execution time: 82 ms, waiting time: 150 ms, processed by Server Zone:5)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
9362428 getPopulationofCountry Sweden Zone:4 (turnaround time: 383 ms, execution time: 81 ms, waiting time: 300 ms, processed by Server Zone:4)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 292 ms, execution time: 80 ms, waiting time: 211 ms, processed by Server Zone:5)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 314 ms, execution time: 81 ms, waiting time: 233 ms, processed by Server Zone:4)
266998322 getPopulationofCountry United States Zone:5 (turnaround time: 253 ms, execution time: 83 ms, waiting time: 168 ms, processed by Server Zone:5)
7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 371 ms, execution time: 81 ms, waiting time: 288 ms, processed by Server Zone:4)
64035243 getPopulationofCountry Indonesia Zone:2 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:2)
6340891 getPopulationofCountry Guatemala Zone:5 (turnaround time: 213 ms, execution time: 81 ms, waiting time: 130 ms, processed by Server Zone:5)
2501302 getPopulationofCountry Panama Zone:1 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:1)
3988332 getPopulationofCountry Paraguay Zone:3 (turnaround time: 81 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 428 ms, execution time: 81 ms, waiting time: 347 ms, processed by Server Zone:4)
3162856 getPopulationofCountry Norway Zone:5 (turnaround time: 97 ms, execution time: 82 ms, waiting time: 15 ms, processed by Server Zone:5)
1182883 getPopulationofCountry Slovenia Zone:1 (turnaround time: 82 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:1)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 83 ms, execution time: 83 ms, waiting time: 0 ms, processed by Server Zone:2)
3162856 getPopulationofCountry Norway Zone:5 (turnaround time: 155 ms, execution time: 81 ms, waiting time: 73 ms, processed by Server Zone:5)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 140 ms, execution time: 80 ms, waiting time: 59 ms, processed by Server Zone:2)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
3907506 getPopulationofCountry Ireland Zone:3 (turnaround time: 81 ms, execution time: 80 ms, waiting time: 1 ms, processed by Server Zone:3)
184225 getPopulationofCountry Guam Zone:5 (turnaround time: 114 ms, execution time: 80 ms, waiting time: 34 ms, processed by Server Zone:5)
